quarter,Year,Sales,Type
Q1,2000,694513,B
Q2,2000,751698,A
Q3,2000,745556,B
Q4,2000,791509,A
Q1,2001,704201,B
Q2,2001,778035,A
Q3,2001,754174,A
Q4,2001,825858,A
Q1,2002,715763,B
Q2,2002,789424,A
Q3,2002,790861,A
Q4,2002,832504,B
Q1,2003,740281,B
Q2,2003,818714,B
Q3,2003,829866,A
Q4,2003,873870,B
Q1,2004,794451,A
Q2,2004,870242,A
Q3,2004,871982,A
Q4,2004,936373,B
Q1,2005,835173,A
Q2,2005,930721,A
Q3,2005,938735,A
Q4,2005,984654,A
Q1,2006,894722,A
Q2,2006,984763,A
Q3,2006,975835,A
Q4,2006,1016253,C
Q1,2007,921266,D
Q2,2007,1013371,C
Q3,2007,1000151,C
Q4,2007,1060394,C
Q1,2008,950280,C
Q2,2008,1028067,C
Q3,2008,999873,C
Q4,2008,957285,C
Q1,2009,828728,D
Q2,2009,905656,D
Q3,2009,911593,D
Q4,2009,966970,C
Q1,2010,876229,D
Q2,2010,961240,C
Q3,2010,951077,C
Q4,2010,1030295,C
Q1,2011,943664,C
Q2,2011,1034497,C
Q3,2011,1026969,C
Q4,2011,1097057,E
Q1,2012,1015585,C
Q2,2012,1078508,E
Q3,2012,1067067,E
Q4,2012,1141069,F
Q1,2013,1040447,E
Q2,2013,1121857,F
Q3,2013,1117781,F
Q4,2013,1178918,F
Q1,2014,1061563,E
Q2,2014,1176975,F
Q3,2014,1169173,F
Q4,2014,1228634,F
Q1,2015,1081022,E
Q2,2015,1189836,F
Q3,2015,1188363,F
Q4,2015,1249081,F
Q1,2016,1116632,F
Q2,2016,1215205,F
Q3,2016,1204302,F
Q4,2016,1315101,F
