Store,week,year,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,Weekly_Sales
1,5,2010,42.31,2.572,NA,NA,NA,NA,NA,211.0963582,8.106,24924.5
1,6,2010,38.51,2.548,NA,NA,NA,NA,NA,211.2421698,8.106,46039.49
1,7,2010,39.93,2.514,NA,NA,NA,NA,NA,211.2891429,8.106,41595.55
1,8,2010,46.63,2.561,NA,NA,NA,NA,NA,211.3196429,8.106,19403.54
1,9,2010,46.5,2.625,NA,NA,NA,NA,NA,211.3501429,8.106,21827.9
1,10,2010,57.79,2.667,NA,NA,NA,NA,NA,211.3806429,8.106,21043.39
1,11,2010,54.58,2.72,NA,NA,NA,NA,NA,211.215635,8.106,22136.64
1,12,2010,51.45,2.732,NA,NA,NA,NA,NA,211.0180424,8.106,26229.21
1,13,2010,62.27,2.719,NA,NA,NA,NA,NA,210.8204499,7.808,57258.43
1,14,2010,65.86,2.77,NA,NA,NA,NA,NA,210.6228574,7.808,42960.91
1,15,2010,66.32,2.808,NA,NA,NA,NA,NA,210.4887,7.808,17596.96
1,16,2010,64.84,2.795,NA,NA,NA,NA,NA,210.4391228,7.808,16145.35
1,17,2010,67.41,2.78,NA,NA,NA,NA,NA,210.3895456,7.808,16555.11
1,18,2010,72.55,2.835,NA,NA,NA,NA,NA,210.3399684,7.808,17413.94
1,19,2010,74.78,2.854,NA,NA,NA,NA,NA,210.3374261,7.808,18926.74
1,20,2010,76.44,2.826,NA,NA,NA,NA,NA,210.6170934,7.808,14773.04
1,21,2010,80.44,2.759,NA,NA,NA,NA,NA,210.8967606,7.808,15580.43
1,22,2010,80.69,2.705,NA,NA,NA,NA,NA,211.1764278,7.808,17558.09
1,23,2010,80.43,2.668,NA,NA,NA,NA,NA,211.4560951,7.808,16637.62
1,24,2010,84.11,2.637,NA,NA,NA,NA,NA,211.4537719,7.808,16216.27
1,25,2010,84.34,2.653,NA,NA,NA,NA,NA,211.3386526,7.808,16328.72
1,26,2010,80.91,2.669,NA,NA,NA,NA,NA,211.2235333,7.787,16333.14
1,27,2010,80.48,2.642,NA,NA,NA,NA,NA,211.108414,7.787,17688.76
1,28,2010,83.15,2.623,NA,NA,NA,NA,NA,211.1003854,7.787,17150.84
1,29,2010,83.36,2.608,NA,NA,NA,NA,NA,211.2351443,7.787,15360.45
1,30,2010,81.84,2.64,NA,NA,NA,NA,NA,211.3699032,7.787,15381.82
1,31,2010,87.16,2.627,NA,NA,NA,NA,NA,211.5046621,7.787,17508.41
1,32,2010,87,2.692,NA,NA,NA,NA,NA,211.6394211,7.787,15536.4
1,33,2010,86.65,2.664,NA,NA,NA,NA,NA,211.6033633,7.787,15740.13
1,34,2010,85.22,2.619,NA,NA,NA,NA,NA,211.5673056,7.787,15793.87
1,35,2010,81.21,2.577,NA,NA,NA,NA,NA,211.5312479,7.787,16241.78
1,36,2010,78.69,2.565,NA,NA,NA,NA,NA,211.4951902,7.787,18194.74
1,37,2010,82.11,2.582,NA,NA,NA,NA,NA,211.5224596,7.787,19354.23
1,38,2010,80.94,2.624,NA,NA,NA,NA,NA,211.5972246,7.787,18122.52
1,39,2010,71.89,2.603,NA,NA,NA,NA,NA,211.6719895,7.838,20094.19
1,40,2010,63.93,2.633,NA,NA,NA,NA,NA,211.7467544,7.838,23388.03
1,41,2010,67.18,2.72,NA,NA,NA,NA,NA,211.8137436,7.838,26978.34
1,42,2010,69.86,2.725,NA,NA,NA,NA,NA,211.8612937,7.838,25543.04
1,43,2010,69.64,2.716,NA,NA,NA,NA,NA,211.9088438,7.838,38640.93
1,44,2010,58.74,2.689,NA,NA,NA,NA,NA,211.9563939,7.838,34238.88
1,45,2010,59.61,2.728,NA,NA,NA,NA,NA,212.003944,7.838,19549.39
1,46,2010,51.41,2.771,NA,NA,NA,NA,NA,211.8896737,7.838,19552.84
1,47,2010,64.52,2.735,NA,NA,NA,NA,NA,211.7484333,7.838,18820.29
1,48,2010,49.27,2.708,NA,NA,NA,NA,NA,211.607193,7.838,22517.56
1,49,2010,46.33,2.843,NA,NA,NA,NA,NA,211.4659526,7.838,31497.65
1,50,2010,49.84,2.869,NA,NA,NA,NA,NA,211.4053124,7.838,44912.86
1,51,2010,52.33,2.886,NA,NA,NA,NA,NA,211.4051222,7.838,55931.23
1,52,2010,48.43,2.943,NA,NA,NA,NA,NA,211.4049321,7.838,19124.58
1,1,2011,48.27,2.976,NA,NA,NA,NA,NA,211.4047419,7.742,15984.24
1,2,2011,35.4,2.983,NA,NA,NA,NA,NA,211.4574109,7.742,17359.7
1,3,2011,44.04,3.016,NA,NA,NA,NA,NA,211.8272343,7.742,17341.47
1,4,2011,43.83,3.01,NA,NA,NA,NA,NA,212.1970577,7.742,18461.18
1,5,2011,42.27,2.989,NA,NA,NA,NA,NA,212.5668812,7.742,21665.76
1,6,2011,36.39,3.022,NA,NA,NA,NA,NA,212.9367046,7.742,37887.17
1,7,2011,57.36,3.045,NA,NA,NA,NA,NA,213.2478853,7.742,46845.87
1,8,2011,62.9,3.065,NA,NA,NA,NA,NA,213.535609,7.742,19363.83
1,9,2011,59.58,3.288,NA,NA,NA,NA,NA,213.8233327,7.742,20327.61
1,10,2011,53.56,3.459,NA,NA,NA,NA,NA,214.1110564,7.742,21280.4
1,11,2011,62.76,3.488,NA,NA,NA,NA,NA,214.3627114,7.742,20334.23
1,12,2011,69.97,3.473,NA,NA,NA,NA,NA,214.5999389,7.742,20881.1
1,13,2011,59.17,3.524,NA,NA,NA,NA,NA,214.8371664,7.682,20398.09
1,14,2011,67.84,3.622,NA,NA,NA,NA,NA,215.0743939,7.682,23873.79
1,15,2011,71.27,3.743,NA,NA,NA,NA,NA,215.2918561,7.682,28762.37
1,16,2011,72.99,3.807,NA,NA,NA,NA,NA,215.4599053,7.682,50510.31
1,17,2011,72.03,3.81,NA,NA,NA,NA,NA,215.6279544,7.682,41512.39
1,18,2011,64.61,3.906,NA,NA,NA,NA,NA,215.7960035,7.682,20138.19
1,19,2011,75.64,3.899,NA,NA,NA,NA,NA,215.9640526,7.682,17235.15
1,20,2011,67.63,3.907,NA,NA,NA,NA,NA,215.7339202,7.682,15136.78
1,21,2011,77.72,3.786,NA,NA,NA,NA,NA,215.5037878,7.682,15741.6
1,22,2011,83,3.699,NA,NA,NA,NA,NA,215.2736553,7.682,16434.15
1,23,2011,83.13,3.648,NA,NA,NA,NA,NA,215.0435229,7.682,15883.52
1,24,2011,86.41,3.637,NA,NA,NA,NA,NA,214.9980596,7.682,14978.09
1,25,2011,83.58,3.594,NA,NA,NA,NA,NA,215.0910982,7.682,15682.81
1,26,2011,85.55,3.524,NA,NA,NA,NA,NA,215.1841368,7.962,15363.5
